,control_1mMPi_R1,control_1mMPi_R2,control_1mMPi_R3,T01mMPhi_R1,T01mMPhi_R2,T01mMPhi_R3,T05mMPhi_R1,T05mMPhi_R2,T05mMPhi_R3
Tatro_000001-T1,1,0,0,1,0,0,0,1,0
Tatro_000002-T1,50.5,51,38.5,306.83,37.5,45,55,43,25
Tatro_000003-T1,19,18,13,494.33,36,46.5,153.5,130.5,66
Tatro_000004-T1,10,8.5,6,135,18.25,30,62,67,17
Tatro_000005-T1,0,0,0,29.5,1,3,28,18,18
Tatro_000006-T1,1,1,1,26,1,2,20.5,27,7
Tatro_000007-T1,0,0.5,0,7,3,1,0,7,0
Tatro_000008-T1,4,3,1,78.33,6,3,108,83.5,39.5
Tatro_000009-T1,0,3,3,43.5,3,6,11,10.5,4
Tatro_000010-T1,0,0,0,0,0,0,0,0,0
Tatro_000011-T1,11,12,11.5,54,5,14,8,14.5,2
Tatro_000012-T1,0,0,0,2,0,0,0,0,0
Tatro_000013-T1,0,0,0,0,0,0,1,0,0
Tatro_000014-T1,30.58,32.78,38.67,467.74,33.08,47.58,62.08,60.67,25.25
Tatro_000014-T2,30.58,32.78,38.67,467.74,33.08,47.58,62.08,60.67,25.25
Tatro_000014-T3,30.58,32.78,38.67,467.74,33.08,47.58,62.08,60.67,25.25
Tatro_000015-T1,9,5,1.5,155.5,15.5,13,121.5,109,59
Tatro_000016-T1,4,1.5,1,72.5,10,8.5,30.5,39,14
Tatro_000017-T1,9,5.5,4,533.25,39,47.5,68,54.5,41
Tatro_000018-T1,142.5,104.17,124.5,3757.75,315,393.33,433.5,428.5,179.5
Tatro_000019-T1,1,1,0,15.5,3,0,1,0.5,1
Tatro_000020-T1,8,6.5,2,216.5,22,7,33.5,32.5,16
Tatro_000021-T1,8,12.5,14,210.83,17,20,20,28,9
Tatro_000022-T1,1085.5,1093.67,1137.5,6867.5,593,640,1356,1307,561
Tatro_000023-T1,62.5,64.5,53,403,52,45,155,141.5,79.5
Tatro_000024-T1,118.25,129.67,154.42,1042.02,103.17,99.92,197.2,184.41,99.33
Tatro_000024-T2,118.25,129.67,154.42,1042.02,103.17,99.92,197.2,184.41,99.33
Tatro_000025-T1,60.92,68.83,88.92,729.52,72.17,76.92,143.7,129.25,68.83
Tatro_000026-T1,297.5,388.5,315.33,6046.33,584.5,675,861.67,842.5,394.83
Tatro_000027-T1,2,4,4.5,29,4,5,14,23,8
Tatro_000028-T1,4,6.5,2,46.83,5,4,2,4,4.5
Tatro_000029-T1,0,0.5,0,2.5,0,0,1,0,0
Tatro_000030-T1,1,3,1,11,0,0,6,8,5
Tatro_000031-T1,0,1,0,17,1,2,1,1,0
Tatro_000032-T1,0,0,0,11,0,3,1,0,1
Tatro_000033-T1,5,0,3,151.33,12,14,7,8,2
Tatro_000034-T1,23,39.83,32,331.33,26.5,29,38.5,38.83,23.5
Tatro_000035-T1,8,13.33,10,187.83,22,12,38.5,40.5,9.5
Tatro_000036-T1,15,10,17,210.5,17.5,22,19,30,11
Tatro_000037-T1,11,7,6,138.5,9,12,16,20.5,4
Tatro_000038-T1,255.5,247.17,217.08,5462.15,495.83,584.83,707.83,656.67,310.83
Tatro_000039-T1,92,81.67,49.08,3547.82,350.83,431.33,450.33,385.33,196.33
Tatro_000040-T1,508.33,616,338,2094.95,247.5,288.5,402.5,406.67,209
Tatro_000041-T1,41.67,59.42,31.83,140.36,23.92,18.92,24,27,13.25
Tatro_000041-T2,41.67,59.42,31.83,140.36,23.92,18.92,24,27,13.25
Tatro_000041-T3,41.67,59.42,31.83,140.36,23.92,18.92,24,27,13.25
Tatro_000042-T1,438,441.58,308,950.5,109,139,226.5,189,94.5
Tatro_000043-T1,73,75,80.83,661,51.5,67.5,135.5,129.5,36
Tatro_000044-T1,19,26.5,22.5,109,11,8.5,8,18,6
Tatro_000045-T1,72,75.5,55,699,55,83.5,145.5,124.5,59
Tatro_000046-T1,60,73,55.5,817.58,64,94,111.5,98.83,41.5
Tatro_000047-T1,50.5,40.5,42.5,797.33,73.33,90,156,174.5,85
Tatro_000048-T1,6.5,7,6.5,105,16.5,13,31,31,12
Tatro_000049-T1,3,1,4,39.5,5.5,8,22,13,7
Tatro_000050-T1,9,5,11,172.5,19,20,71.5,73.5,46
Tatro_000051-T1,484.5,436.5,370,1680,171.5,209,309,252.33,119
Tatro_000052-T1,353,247.5,197.5,633,66,55,54.5,59,27
Tatro_000053-T1,242,188.5,147,601.83,54.33,57,73,78.5,50
Tatro_000054-T1,24,18,45.5,288.5,35,40,25,27.5,6
Tatro_000055-T1,4,0,0,21.5,2,2,3,0,1
Tatro_000056-T1,6,18,18,118.83,17,16,13,18,9
Tatro_012396-T1,0,0,0.5,0.5,0,0,0,0,0
Tatro_000057-T1,0,0,0.5,0.5,0,0,0,0,0
Tatro_000058-T1,0,2,2,8,1.5,0,2,1,1
Tatro_000059-T1,0,0,0,0,0,0,2,1,0
Tatro_000060-T1,2,4,1,3,3,1,0,1,3
Tatro_000061-T1,67.5,83.5,111,774.5,79.5,75,114,107.5,46.5
Tatro_000063-T1,5,7,7,44.5,4,8,28.5,39,23
Tatro_000064-T1,113.5,125.5,127,305.5,34,51,47,42.5,24.5
Tatro_000065-T1,4.5,9.5,4,27.5,6.5,3,9,2,6
Tatro_000066-T1,84,89.5,46,2353.08,202,204.5,745,677,332.33
Tatro_000067-T1,16,22.83,24,145.25,18,16.5,36.5,40,9
Tatro_000068-T1,2151,2033.17,2290,22349.78,1824.03,1987.33,3356.25,2941.5,1256.33
Tatro_000070-T1,231,230.67,270,1659.87,200,163.5,371.5,315,155.5
Tatro_000071-T1,2,0,0,58,4,7,18,12,7
Tatro_000072-T1,1966.58,2360.67,2420,10377.37,1117.33,1251,2002.67,1855.67,930.25
Tatro_000073-T1,0,2,0,1,0,0,3,0,0
Tatro_000074-T1,3,0,3,72,4.5,10,8,15,4
Tatro_000075-T1,1,4,5,21.5,2,3,12,6,3
Tatro_000076-T1,0,0,2,1,1,0,0,0,0
Tatro_000077-T1,0,0,0,0,0,0,0,0,0
Tatro_000078-T1,0,1,1,21.5,2,1,1,4,0
Tatro_000079-T1,429.42,393.5,515.7,4223.03,425.25,480.25,1633.75,1660.17,826.33
Tatro_000079-T2,429.42,393.5,515.7,4223.03,425.25,480.25,1633.75,1660.17,826.33
Tatro_000080-T1,11,11.5,13,510.42,48.33,45,82,88,35.5
Tatro_000081-T1,0,1,0,7,0,0,1,0.5,1
Tatro_000082-T1,0,0,0,0,1,0,0,1,0
Tatro_000083-T1,2,3,1,69,9.33,11,14.5,17,3
Tatro_000084-T1,7,4.5,3,38,6,11,18,17,9
Tatro_000085-T1,22,19,12,374.17,34,40,294.33,288.5,145.5
Tatro_000086-T1,3,3,0,31.67,7,5,12.33,9.5,7
Tatro_000087-T1,4,2,1,15,3,5,7,11,4
Tatro_000088-T1,69.5,75.5,69.83,572.25,77.33,73.67,806.42,779.33,372.67
Tatro_000088-T2,69.5,75.5,69.83,572.25,77.33,73.67,806.42,779.33,372.67
Tatro_000089-T1,352,328.5,449.5,2691.42,263.5,279,517.33,432.5,233
Tatro_000090-T1,30.83,31,25.83,395.33,29.5,29.5,68.17,74.83,39
Tatro_000090-T2,30.83,31,25.83,395.33,29.5,29.5,68.17,74.83,39
Tatro_000091-T1,77,68,42.5,4849.17,332.33,394.33,564.5,513.5,186.5
Tatro_000092-T1,591,573,707.75,4687.92,587.33,626,1322.5,1156.67,630.33
Tatro_000093-T1,1983.33,1519.83,1733.42,16475.08,1362.33,1400,2946.33,2529.83,1143.33
Tatro_000094-T1,127,133.83,114.5,814.25,72.25,81.5,84.5,105,41
Tatro_000095-T1,178.5,165.5,147,2762.5,213,290.25,683.83,618.5,325.5
Tatro_000096-T1,1180.67,1172,1136.83,11004.92,918.33,1029.25,1421.17,1413.25,626.33
Tatro_000097-T1,7,9.5,6,174,17.5,17.5,34,36,14
Tatro_000098-T1,370.33,372.83,410.5,4063.45,359.5,363,597.5,510,270
Tatro_000099-T1,431,450.83,468.67,4705.08,501.5,501.5,717.5,723.17,337.5
Tatro_000100-T1,300,326,308,3771.42,346.5,395,1699.33,1565.83,698
Tatro_000101-T1,3672.17,2932.5,3403.17,26381.75,2046.33,2197.83,3835,3328,1691.5
Tatro_000102-T1,3961.08,3441.67,3808.62,25596.42,2545.67,2744.33,4803.83,4506.42,2260.33
Tatro_000103-T1,605.5,548.5,555,5724.25,552,582.83,926,744,365
Tatro_000104-T1,733.5,1114,1251.33,3343.42,783,786.83,1315.5,1180.5,719.83
Tatro_000105-T1,84,56.5,12,4677.53,289,338.5,728.5,766.7,302
Tatro_000106-T1,690,639.5,606.5,5379.42,562.33,677,1493.5,1334.5,728.5
Tatro_000107-T1,10,10,6,164.5,18,19,38,18,15
Tatro_000108-T1,3823,4291.96,5386.58,16821.45,2061.17,2517.83,2253,2025.83,1215.33
